AB Actor Overlap,AB Relationship Overlap,Unique A Actors,Unique B Actors,Unique A Relationships,Unique B Relationships
,"('David Slottje', 'Jim Worden')",,,,
,"('Loretta Sullivan', 'Eric Halstead')",,,,
,"('Joseph Bish', 'Sue Heavenrich')",,,,
,"('Dan Lindsay', 'Ken Strickland')",,,,
,"('Dan Lindsay', 'Richard Lasky')",,,,
,"('Robert Williams', 'Dan Bish')",,,,
,"('Dan Lindsay', 'Elaine Jardine')",,,,
,"('Susannah Reese', 'Martha Goodsell')",,,,
,"('Florence Alpert', 'Ashur Terwilliger')",,,,
,"('Eric Halstead', 'Elaine Jardine')",,,,
,"('Brenda Boyce', 'Sue Heavenrich')",,,,
,"('Tom Libous', 'Ken Gordo')",,,,
,"('Peter Pappas', 'Terry Collins')",,,,
,"('Ron Keibel', 'Coulter Heavenrich')",,,,
,"('Dan Lindsay', 'Ashur Terwilliger')",,,,
,"('Nick Schoonover', 'Jackie Root')",,,,
,"('Eric Gartenman', 'Karl Gesslein')",,,,
,"('Susannah Reese', 'Dan Fitzsimmons')",,,,
,"('Robert Williams', 'Ashur Terwilliger')",,,,
,"('Helen Slottje', 'Ron Keibel')",,,,
,"('Jeff Decker', 'Brad Robinson')",,,,
,"('Dan Lindsay', 'Dan Fitzsimmons')",,,,
,"('Peter Pappas', 'Ken Gordo')",,,,
,"('Don Boyce', 'Eric Halstead')",,,,
,"('Nicole Gwardyak', 'Marchie Diffindorf')",,,,
,"('Ed Griffith', 'Gary Lash')",,,,
,"('Dave Dibble', 'Bob Aman')",,,,
,"('James Douglas', 'Gary Lash')",,,,
,"('Christine Curkendall', 'Frank Cook')",,,,
,"('Helen Slottje', 'Chris Brown')",,,,
,"('Doug Barton', 'Karl Gesslein')",,,,
,"('Richard Lasky', 'Frank Cook')",,,,
,"('Bill Leonard', 'Mark Sorochinsky')",,,,
,"('Robert Riggs', 'Terry Collins')",,,,
,"('Jeffery Jacquet', 'Darlene Cobler')",,,,
,"('Arthur Cacciola', 'Carrie Czebiniak')",,,,
,"('Milton Dougherty', 'Terry Collins')",,,,
,"('David Weber', 'Sue Heavenrich')",,,,
,"('Arthur Cacciola', 'Jamal Diboun')",,,,
,"('Robert Williams', 'Bob Aman')",,,,
,"('Judy Quigley', 'Wayne Wells')",,,,
,"('Nicole Gwardyak', 'Bill Kulze')",,,,
,"('Bill Leonard', 'Terry Collins')",,,,
,"('Tom Libous', 'Jackie Root')",,,,
,"('Ron McEwen', 'Ashur Terwilliger')",,,,
,"('Bill Kulze', 'Karl Gesslein')",,,,
,"('Ron McEwen', 'Fred Martinez')",,,,
,"('Aaron Gowan', 'Bob Freeman')",,,,
,"('Matt Crowe', 'Martha Goodsell')",,,,
,"('Jeffery Jacquet', 'Dick VanScoy')",,,,
,"('Florence Alpert', 'Terry Collins')",,,,
,"('Tim Whitesell', 'Dave Dibble')",,,,
,"('Richard Lasky', 'David Weber')",,,,
,"('Rachel Treichler', 'Dave Dibble')",,,,
,"('Mike Dannaher', 'Dan Bish')",,,,
,"('Joseph Bish', 'Dan Fitzsimmons')",,,,
,"('David Slottje', 'Ken Gordo')",,,,
,"('James Douglas', 'Susannah Reese')",,,,
,"('Dan Lindsay', 'Milton Dougherty')",,,,
,"('John Holko', 'Coulter Heavenrich')",,,,
,"('Aaron Gowan', 'Wayne Wells')",,,,
,"('Gary Lash', 'Ashur Terwilliger')",,,,
,"('Chris Denton', 'Sue Heavenrich')",,,,
,"('Brett Chedzoy', 'Jaqueline Beal')",,,,
,"('Arthur Cacciola', 'Tim Whitesell')",,,,
,"('Bill Leonard', 'Steve Szczepanski')",,,,
,"('Martha Goodsell', 'Jim Worden')",,,,
,"('Jim Douglas', 'Marchie Diffindorf')",,,,
,"('Brenda Boyce', 'Wayne Wells')",,,,
,"('Helen Slottje', 'Lois Dillworth')",,,,
,"('Don Boyce', 'Ken Gordo')",,,,
,"('Joseph Bish', 'Elaine Jardine')",,,,
,"('Dan Fitzsimmons', 'Ashur Terwilliger')",,,,
,"('Bill Leonard', 'Alice Irons')",,,,
,"('Doug Barton', 'Ken Strickland')",,,,
,"('James Douglas', 'Brad Robinson')",,,,
,"('Kurt Schrader', 'Mark Sorochinsky')",,,,
,"('James Douglas', 'Darrick Evensen')",,,,
,"('Darlene Cobler', 'Mark Sorochinsky')",,,,
,"('Connie Kulze', 'Brad Robinson')",,,,
,"('Tom Libous', 'Doug Barton')",,,,
,"('Terry Engelder', 'Bob Aman')",,,,
,"('Don Boyce', 'Steve Szczepanski')",,,,
,"('Dan Lindsay', 'Eric Gartenman')",,,,
,"('Don Zaengle', 'Mark Sorochinsky')",,,,
,"('Dan Lindsay', 'Lynn Craig')",,,,
,"('Helen Slottje', 'Don Boyce')",,,,
,"('Jeffery Jacquet', 'Mike Dannaher')",,,,
,"('Ron McEwen', 'Coulter Heavenrich')",,,,
,"('Darlene Cobler', 'Terry Collins')",,,,
,"('Don Boyce', 'Doug Barton')",,,,
,"('Dan Lindsay', 'Peter Pappas')",,,,
,"('Dan Bish', 'Mark Sorochinsky')",,,,
,"('Don Barber', 'Christine Curkendall')",,,,
,"('Bob Aman', 'Ashur Terwilliger')",,,,
,"('Jaqueline Beal', 'Carrie Czebiniak')",,,,
,"('Dan Fitzsimmons', 'Brad Robinson')",,,,
,"('Jamal Diboun', 'Ken Gordo')",,,,
,"('Kevin Noble', 'Bob Aman')",,,,
,"('Judy Quigley', 'Terry Engelder')",,,,
,"('Robert Williams', 'Darrick Evensen')",,,,
,"('Eric Gartenman', 'Terry Collins')",,,,
,"('Jeremy Wheeler', 'John Holko')",,,,
,"('Bill Leonard', 'Martha Goodsell')",,,,
,"('Doug Barton', 'Marchie Diffindorf')",,,,
,"('David Slottje', 'Judy Quigley')",,,,
,"('Don Zaengle', 'Milton Dougherty')",,,,
,"('Lynn Craig', 'Fred Martinez')",,,,
,"('Joseph Bish', 'Lynn Craig')",,,,
,"('David Weber', 'Elaine Jardine')",,,,
,"('Loretta Sullivan', 'Steve Szczepanski')",,,,
,"('Dan Lindsay', 'Tim Whitesell')",,,,
,"('Jaqueline Beal', 'Mark Sorochinsky')",,,,
,"('Rachel Treichler', 'Robert Riggs')",,,,
,"('Florence Alpert', 'Darlene Cobler')",,,,
,"('John Holko', 'Matt Crowe')",,,,
,"('Robert Williams', 'Darlene Cobler')",,,,
,"('Darlene Cobler', 'Mike Dannaher')",,,,
,"('Helen Slottje', 'Darlene Cobler')",,,,
,"('Matt Crowe', 'Ken Strickland')",,,,
,"('Jeffery Jacquet', 'Mark Sorochinsky')",,,,
,"('Jackie Root', 'Coulter Heavenrich')",,,,
,"('David Slottje', 'Don Boyce')",,,,
,"('Dave Dibble', 'Jim Worden')",,,,
,"('Arthur Cacciola', 'Eric Gartenman')",,,,
,"('Richard Lasky', 'Chris Denton')",,,,
,"('Judy Quigley', 'Chris Brown')",,,,
,"('Nick Schoonover', 'Jeremy Wheeler')",,,,
,"('Jim Douglas', 'Tim Whitesell')",,,,
,"('Ron Keibel', 'Jackie Root')",,,,
,"('Tom Libous', 'Christine Curkendall')",,,,
,"('David Weber', 'Mark Sorochinsky')",,,,
,"('Jeremy Wheeler', 'Milton Dougherty')",,,,
,"('Joseph Bish', 'Martha Goodsell')",,,,
,"('Bill Leonard', 'Sue Heavenrich')",,,,
,"('Don Boyce', 'Christine Curkendall')",,,,
,"('David Weber', 'Terry Collins')",,,,
,"('Dan Bish', 'Eric Gartenman')",,,,
,"('Jeffery Jacquet', 'Terry Engelder')",,,,
,"('Joseph Bish', 'Peter Pappas')",,,,
,"('Jim Douglas', 'Fred Martinez')",,,,
,"('Matt Crowe', 'Frank Cook')",,,,
,"('Debralyn Muscato', 'Terry Collins')",,,,
,"('Kevin Noble', 'Jim Worden')",,,,
,"('Kurt Schrader', 'Alice Irons')",,,,
,"('Susannah Reese', 'Karl Gesslein')",,,,
,"('Darlene Cobler', 'Dick VanScoy')",,,,
,"('Susannah Reese', 'Dick VanScoy')",,,,
,"('Don Boyce', 'Ron McEwen')",,,,
,"('Ken Gordo', 'Dan Fitzsimmons')",,,,
,"('Milton Dougherty', 'Eric Gartenman')",,,,
,"('James Douglas', 'Kevin Burns')",,,,
,"('Milton Dougherty', 'Steve Szczepanski')",,,,
,"('Kurt Schrader', 'Christine Curkendall')",,,,
,"('Rachel Treichler', 'James Douglas')",,,,
,"('Dan Lindsay', 'David Weber')",,,,
,"('Nick Schoonover', 'Mike Dannaher')",,,,
,"('Loretta Sullivan', 'Ashur Terwilliger')",,,,
,"('Richard Lasky', 'Darrick Evensen')",,,,
,"('Helen Slottje', 'Dick VanScoy')",,,,
,"('Jim Douglas', 'Carrie Czebiniak')",,,,
,"('Ron McEwen', 'Debralyn Muscato')",,,,
,"('Christine Curkendall', 'Ken Gordo')",,,,
,"('James Douglas', 'Ashur Terwilliger')",,,,
,"('Brett Chedzoy', 'Tim Whitesell')",,,,
,"('Tom Libous', 'Gary Henry')",,,,
,"('Jeffery Jacquet', 'Jim Douglas')",,,,
,"('John Holko', 'Randy Murray')",,,,
,"('Jeremy Wheeler', 'Don Boyce')",,,,
,"('Susannah Reese', 'Chris Denton')",,,,
,"('Don Barber', 'Susannah Reese')",,,,
,"('Don Barber', 'Robert Williams')",,,,
,"('Bill Kulze', 'Robert Riggs')",,,,
,"('Loretta Sullivan', 'Brad Robinson')",,,,
,"('Joseph Bish', 'James Douglas')",,,,
,"('George Williams', 'Chris Denton')",,,,
,"('Darlene Cobler', 'Sue Heavenrich')",,,,
,"('Alice Irons', 'Coulter Heavenrich')",,,,
,"('Don Boyce', 'Ashur Terwilliger')",,,,
,"('Joseph Bish', 'Kevin Noble')",,,,
,"('Robert Williams', 'Ron Keibel')",,,,
,"('Helen Slottje', 'Chris Denton')",,,,
,"('Terry Engelder', 'Tim Whitesell')",,,,
,"('Arthur Cacciola', 'Debralyn Muscato')",,,,
,"('Rachel Treichler', 'Nicole Gwardyak')",,,,
,"('Don Boyce', 'Frank Cook')",,,,
,"('Rachel Treichler', 'Peter Pappas')",,,,
,"('Eric Halstead', 'Mark Sorochinsky')",,,,
,"('Jamal Diboun', 'Bob Aman')",,,,
,"('Joseph Bish', 'Mike Dannaher')",,,,
,"('David Weber', 'Martha Goodsell')",,,,
,"('Jeffery Jacquet', 'Randy Murray')",,,,
,"('Aaron Gowan', 'Robert Salvato')",,,,
,"('Jim Douglas', 'Debralyn Muscato')",,,,
,"('Milton Dougherty', 'Elaine Jardine')",,,,
,"('Bill Leonard', 'Gary Henry')",,,,
,"('Don Zaengle', 'Terry Collins')",,,,
,"('Kevin Noble', 'Doug Barton')",,,,
,"('Terry Engelder', 'Karl Gesslein')",,,,
,"('Judy Quigley', 'Fred Martinez')",,,,
,"('Elaine Jardine', 'Doug Barton')",,,,
,"('Mike Dannaher', 'Ken Gordo')",,,,
,"('Ken Gordo', 'Dan Bish')",,,,
,"('Rachel Treichler', 'Milton Dougherty')",,,,
,"('Eric Halstead', 'Dan Bish')",,,,
,"('Chris Brown', 'Lois Dillworth')",,,,
,"('Robert Salvato', 'Ed Griffith')",,,,
,"('Eric Gartenman', 'Brad Robinson')",,,,
,"('John Holko', 'Dan Bish')",,,,
,"('David Weber', 'Connie Kulze')",,,,
,"('Nick Schoonover', 'Doug McLinko')",,,,
,"('Alice Irons', 'Terry Collins')",,,,
,"('David Weber', 'Kevin Burns')",,,,
,"('Nicole Gwardyak', 'Wayne Wells')",,,,
,"('Dan Lindsay', 'Robert Riggs')",,,,
,"('Ed Griffith', 'Mark Sorochinsky')",,,,
,"('Robert Salvato', 'Connie Kulze')",,,,
,"('Bill Kulze', 'Ashur Terwilliger')",,,,
,"('Don Barber', 'Kurt Schrader')",,,,
,"('Karl Gesslein', 'Terry Collins')",,,,
,"('Tim Whitesell', 'Gary Lash')",,,,
,"('Nicole Gwardyak', 'Terry Engelder')",,,,
,"('Dan Fitzsimmons', 'Robert Riggs')",,,,
,"('Jeffery Jacquet', 'Jamal Diboun')",,,,
,"('Susannah Reese', 'Milton Dougherty')",,,,
,"('Robert Salvato', 'Kevin Burns')",,,,
,"('Terry Engelder', 'Sue Heavenrich')",,,,
,"('Judy Quigley', 'James Douglas')",,,,
,"('Bill Kulze', 'Randy Murray')",,,,
,"('Ron Keibel', 'Gary Lash')",,,,
,"('Jim Douglas', 'Arthur Cacciola')",,,,
,"('Wayne Wells', 'Marchie Diffindorf')",,,,
,"('Robert Salvato', 'Dan Fitzsimmons')",,,,
,"('John Holko', 'Chris Denton')",,,,
,"('Robert Salvato', 'Susannah Reese')",,,,
,"('Robert Salvato', 'John Holko')",,,,
,"('Nicole Gwardyak', 'Alice Irons')",,,,
,"('Loretta Sullivan', 'Ron Keibel')",,,,
,"('Peter Pappas', 'Kevin Burns')",,,,
,"('Eric Gartenman', 'Robert Riggs')",,,,
,"('Eric Gartenman', 'Dan Fitzsimmons')",,,,
,"('Lynn Craig', 'Brad Robinson')",,,,
,"('Aaron Gowan', 'Carrie Czebiniak')",,,,
,"('Judy Quigley', 'Debralyn Muscato')",,,,
,"('Tom Libous', 'Dave Dibble')",,,,
,"('Terry Engelder', 'Doug Barton')",,,,
,"('Aaron Gowan', 'Dan Fitzsimmons')",,,,
,"('Aaron Gowan', 'Fred Martinez')",,,,
,"('Joseph Bish', 'Fred Martinez')",,,,
,"('Robert Williams', 'Wayne Wells')",,,,
,"('Jim Douglas', 'Terry Engelder')",,,,
,"('Bob Aman', 'Martha Goodsell')",,,,
,"('Don Boyce', 'Dave Dibble')",,,,
,"('Steve Szczepanski', 'Terry Collins')",,,,
,"('Nick Schoonover', 'Ed Griffith')",,,,
,"('Richard Lasky', 'Bill Leonard')",,,,
,"('Terry Engelder', 'Dick VanScoy')",,,,
,"('Jeremy Wheeler', 'George Williams')",,,,
,"('Karl Gesslein', 'Steve Szczepanski')",,,,
,"('Don Barber', 'Nick Schoonover')",,,,
,"('Jaqueline Beal', 'John Holko')",,,,
,"('David Slottje', 'Kurt Schrader')",,,,
,"('Rachel Treichler', 'Elaine Jardine')",,,,
,"('Bill Kulze', 'Dan Bish')",,,,
,"('Kevin Noble', 'Carrie Czebiniak')",,,,
,"('Tom Libous', 'Darlene Cobler')",,,,
,"('Don Boyce', 'Elaine Jardine')",,,,
,"('Kurt Schrader', 'Ken Gordo')",,,,
,"('Eric Halstead', 'Ashur Terwilliger')",,,,
,"('Dan Bish', 'Jim Worden')",,,,
,"('Brenda Boyce', 'Connie Kulze')",,,,
,"('Fred Martinez', 'Kevin Burns')",,,,
,"('Bill Leonard', 'Coulter Heavenrich')",,,,
,"('Doug Barton', 'George Williams')",,,,
,"('Jeremy Wheeler', 'Bob Aman')",,,,
,"('Judy Quigley', 'Gary Henry')",,,,
,"('Terry Engelder', 'Frank Cook')",,,,
,"('James Douglas', 'Brett Chedzoy')",,,,
,"('David Slottje', 'Doug Barton')",,,,
,"('Helen Slottje', 'Dan Fitzsimmons')",,,,
,"('Bob Aman', 'Dan Bish')",,,,
,"('Susannah Reese', 'Ken Gordo')",,,,
,"('Dave Dibble', 'Jaqueline Beal')",,,,
,"('Susannah Reese', 'Brad Robinson')",,,,
,"('David Slottje', 'Dave Dibble')",,,,
,"('David Weber', 'Brenda Boyce')",,,,
,"('Loretta Sullivan', 'Arthur Cacciola')",,,,
,"('Ed Griffith', 'Wayne Wells')",,,,
,"('Milton Dougherty', 'Jackie Root')",,,,
,"('Kurt Schrader', 'Ron McEwen')",,,,
,"('Susannah Reese', 'Coulter Heavenrich')",,,,
,"('Robert Williams', 'Jeff Decker')",,,,
,"('Bill Kulze', 'Ken Strickland')",,,,
,"('Don Zaengle', 'Lois Dillworth')",,,,
,"('Tom Libous', 'Bob Aman')",,,,
,"('David Weber', 'Matt Crowe')",,,,
,"('Brett Chedzoy', 'Debralyn Muscato')",,,,
,"('Helen Slottje', 'Connie Kulze')",,,,
,"('Tom Libous', 'Kevin Burns')",,,,
,"('Dave Dibble', 'John Holko')",,,,
,"('Frank Cook', 'Marchie Diffindorf')",,,,
,"('Jeremy Wheeler', 'Chris Brown')",,,,
,"('Dave Dibble', 'Marchie Diffindorf')",,,,
,"('Fred Martinez', 'Coulter Heavenrich')",,,,
,"('Kevin Noble', 'Mike Dannaher')",,,,
,"('Judy Quigley', 'Jeff Decker')",,,,
,"('Robert Williams', 'Bill Leonard')",,,,
,"('Doug McLinko', 'Dick VanScoy')",,,,
,"('Christine Curkendall', 'Ken Strickland')",,,,
,"('Tim Whitesell', 'Kevin Noble')",,,,
,"('Chris Brown', 'Loretta Sullivan')",,,,
,"('Darlene Cobler', 'Gary Lash')",,,,
,"('Loretta Sullivan', 'Terry Engelder')",,,,
,"('Jamal Diboun', 'David Weber')",,,,
,"('Richard Lasky', 'Robert Riggs')",,,,
,"('Jeremy Wheeler', 'Brenda Boyce')",,,,
,"('Nicole Gwardyak', 'Chris Denton')",,,,
,"('Susannah Reese', 'David Weber')",,,,
,"('Nick Schoonover', 'Bob Aman')",,,,
,"('Kevin Noble', 'Kevin Burns')",,,,
,"('Jim Douglas', 'Jamal Diboun')",,,,
,"('Kevin Noble', 'Gary Lash')",,,,
,"('Jeff Decker', 'Wayne Wells')",,,,
,"('Chris Brown', 'Brenda Boyce')",,,,
,"('Arthur Cacciola', 'Fred Martinez')",,,,
,"('Matt Crowe', 'Fred Martinez')",,,,
,"('James Douglas', 'Chris Denton')",,,,
,"('Jeremy Wheeler', 'Steve Szczepanski')",,,,
,"('James Douglas', 'Wayne Wells')",,,,
,"('Helen Slottje', 'Nicole Gwardyak')",,,,
,"('Loretta Sullivan', 'Jackie Root')",,,,
,"('Karl Gesslein', 'Ken Strickland')",,,,
,"('Darlene Cobler', 'Jim Worden')",,,,
,"('David Slottje', 'Doug McLinko')",,,,
,"('Arthur Cacciola', 'Sue Heavenrich')",,,,
,"('Ed Griffith', 'Matt Crowe')",,,,
,"('Alice Irons', 'Bob Freeman')",,,,
,"('Nicole Gwardyak', 'David Weber')",,,,
,"('Joseph Bish', 'Bill Kulze')",,,,
,"('Mike Dannaher', 'Terry Collins')",,,,
,"('Nick Schoonover', 'Jaqueline Beal')",,,,
,"('Nicole Gwardyak', 'Robert Salvato')",,,,
,"('Ron McEwen', 'Kevin Burns')",,,,
,"('Jim Douglas', 'Kevin Burns')",,,,
,"('John Holko', 'Ken Strickland')",,,,
,"('Lynn Craig', 'Doug McLinko')",,,,
,"('Susannah Reese', 'Gary Lash')",,,,
,"('Jamal Diboun', 'Mike Dannaher')",,,,
,"('David Slottje', 'Matt Crowe')",,,,
,"('Darlene Cobler', 'Karl Gesslein')",,,,
,"('Nick Schoonover', 'Ron McEwen')",,,,
,"('Ron McEwen', 'Gary Henry')",,,,
,"('Elaine Jardine', 'Coulter Heavenrich')",,,,
,"('Judy Quigley', 'George Williams')",,,,
,"('Eric Halstead', 'Sue Heavenrich')",,,,
,"('Milton Dougherty', 'Ken Gordo')",,,,
,"('Kevin Noble', 'David Weber')",,,,
,"('Jeffery Jacquet', 'Robert Salvato')",,,,
,"('Don Barber', 'Wayne Wells')",,,,
,"('Nicole Gwardyak', 'Coulter Heavenrich')",,,,
,"('Dick VanScoy', 'Marchie Diffindorf')",,,,
,"('Richard Lasky', 'Peter Pappas')",,,,
,"('Terry Engelder', 'Dan Bish')",,,,
,"('Susannah Reese', 'Fred Martinez')",,,,
,"('Don Zaengle', 'Debralyn Muscato')",,,,
,"('Terry Engelder', 'Lynn Craig')",,,,
,"('David Slottje', 'Milton Dougherty')",,,,
,"('Nicole Gwardyak', 'Kevin Noble')",,,,
,"('Ken Strickland', 'Terry Collins')",,,,
,"('Nicole Gwardyak', 'Gary Lash')",,,,
,"('Nick Schoonover', 'Wayne Wells')",,,,
,"('Aaron Gowan', 'Doug Barton')",,,,
,"('Jeremy Wheeler', 'Frank Cook')",,,,
,"('Jamal Diboun', 'Lois Dillworth')",,,,
,"('James Douglas', 'Jeremy Wheeler')",,,,
,"('George Williams', 'Brad Robinson')",,,,
,"('Bill Leonard', 'Jeff Decker')",,,,
,"('Alice Irons', 'Dan Bish')",,,,
,"('Jeremy Wheeler', 'Jaqueline Beal')",,,,
,"('Jim Douglas', 'David Weber')",,,,
,"('Peter Pappas', 'Jackie Root')",,,,
,"('David Slottje', 'Mike Dannaher')",,,,
,"('Martha Goodsell', 'Gary Lash')",,,,
,"('Don Boyce', 'Florence Alpert')",,,,
,"('Bill Leonard', 'Matt Crowe')",,,,
,"('Ashur Terwilliger', 'Terry Collins')",,,,
,"('Tom Libous', 'George Williams')",,,,
,"('Robert Williams', 'Tim Whitesell')",,,,
,"('Chris Brown', 'Mark Sorochinsky')",,,,
,"('Jeremy Wheeler', 'Florence Alpert')",,,,
,"('David Weber', 'Ashur Terwilliger')",,,,
,"('Tom Libous', 'Wayne Wells')",,,,
,"('Brett Chedzoy', 'Eric Halstead')",,,,
,"('Judy Quigley', 'Robert Williams')",,,,
,"('Gary Henry', 'Jackie Root')",,,,
,"('Bob Freeman', 'John Holko')",,,,
,"('Doug McLinko', 'Kevin Burns')",,,,
,"('Jamal Diboun', 'Milton Dougherty')",,,,
,"('Don Boyce', 'Darrick Evensen')",,,,
,"('Brett Chedzoy', 'Ed Griffith')",,,,
,"('Judy Quigley', 'Jim Douglas')",,,,
,"('Peter Pappas', 'Jim Worden')",,,,
,"('Elaine Jardine', 'Marchie Diffindorf')",,,,
,"('Randy Murray', 'Ken Strickland')",,,,
